0,1,2,3,4
5,0,71,7,200
5,0,70,79,200
5,0,85,26,200
5,0,99,56,200
5,0,73,8,200
5,0,37,89,200
5,0,26,86,200
5,0,81,34,200
5,0,71,77,200
5,0,82,38,200
5,0,6,43,200
5,0,73,7,200
5,0,90,39,200
5,0,19,75,200
5,0,6,50,200
5,0,22,75,200
5,0,93,60,200
5,0,86,44,200
5,0,23,23,200
5,0,18,80,200
5,0,44,5,200
5,0,50,82,200
5,0,68,20,200
5,0,22,22,200
5,0,72,19,200
5,0,15,25,200
5,0,1,40,200
5,0,48,3,200
5,0,42,14,200
5,0,80,18,200
5,0,12,72,200
5,0,92,49,200
5,0,69,16,200
5,0,36,91,200
5,0,26,77,200
5,0,18,30,200
5,0,47,95,200
5,0,41,87,200
5,0,62,13,200
5,0,42,91,200
5,0,60,7,200
5,0,20,27,200
5,0,33,79,200
5,0,13,64,200
5,0,25,22,200
5,0,19,82,200
5,0,5,48,200
5,0,56,93,200
5,0,21,68,200
5,0,83,48,200
5,0,16,32,200
5,0,55,8,200
5,0,35,18,200
5,0,82,35,200
5,0,74,18,200
5,0,75,19,200
5,0,75,20,200
5,0,6,52,200
5,0,32,18,200
5,0,19,23,200
5,0,11,81,200
5,0,76,85,200
5,0,16,63,200
5,0,1,57,200
5,0,72,74,200
5,0,88,76,200
5,0,13,28,200
5,0,80,85,200
5,0,18,79,200
5,0,96,63,200
5,0,74,92,200
5,0,41,88,200
5,0,48,85,200
5,0,89,73,200
5,0,28,22,200
5,0,79,72,200
5,0,87,16,200
5,0,28,8,200
5,0,21,72,200
5,0,30,77,200
5,0,14,72,200
5,0,82,43,200
5,0,16,52,200
5,0,85,58,200
5,0,64,87,200
5,0,84,21,200
5,0,7,61,200
5,0,86,59,200
5,0,30,78,200
5,0,19,81,200
5,0,13,46,200
5,0,87,36,200
5,0,96,55,200
5,0,58,16,200
5,0,13,68,200
5,0,32,16,200
5,0,6,59,200
5,0,38,86,200
5,0,53,6,200
5,0,80,77,200
5,0,93,61,200
5,0,10,56,200
5,0,5,60,200
5,0,10,62,200
5,0,7,69,200
5,0,84,55,200
5,0,8,38,200
5,0,30,87,200
5,0,80,63,200
5,0,7,72,200
5,0,11,42,200
5,0,1,59,200
5,0,26,15,200
5,0,11,22,200
5,0,85,25,200
5,0,42,15,200
5,0,1,37,200
5,0,80,76,200
5,0,3,59,200
5,0,25,21,200
5,0,13,45,200
5,0,19,18,200
5,0,77,81,200
5,0,43,95,200
5,0,56,10,200
5,0,88,28,200
5,0,13,84,200
5,0,44,84,200
5,0,94,52,200
5,0,34,9,200
5,0,33,12,200
5,0,89,27,200
5,0,82,64,200
5,0,8,61,200
5,0,47,94,200
5,0,12,73,200
5,0,3,49,200
5,0,68,83,200
5,0,27,81,200
5,0,17,18,200
5,0,58,81,200
5,0,39,85,200
5,0,93,36,200
5,0,31,82,200
5,0,87,28,200
5,0,79,28,200
5,0,74,90,200
5,0,9,70,200
5,0,22,72,200
5,0,62,19,200
5,0,61,7,200
5,0,11,17,200
5,0,4,63,200
5,0,22,68,200
5,0,10,24,200
5,0,7,74,200
5,0,95,39,200
5,0,35,79,200
5,0,52,1,200
5,0,27,87,200
5,0,58,4,200
5,0,99,42,200
5,0,21,10,200
5,0,7,44,200
5,0,94,33,200
5,0,22,30,200
5,0,1,51,200
5,0,86,70,200
5,0,52,90,200
5,0,35,94,200
5,0,97,34,200
5,0,82,59,200
5,0,69,4,200
5,0,93,52,200
5,0,48,82,200
5,0,74,82,200
5,0,98,47,200
5,0,9,72,200
5,0,72,77,200
5,0,9,36,200
5,0,37,84,200
5,0,8,45,200
5,0,18,15,200
5,0,88,63,200
5,0,11,73,200
5,0,43,93,200
5,0,74,89,200
5,0,7,37,200
5,0,22,70,200
5,0,53,5,200
5,0,7,25,200
5,0,85,54,200
5,0,7,51,200
5,0,37,82,200
5,0,17,74,200
5,0,17,43,200
5,0,83,79,200
5,0,39,87,200
5,0,81,76,200
5,0,41,3,200
5,0,27,75,200
5,0,62,83,200
5,0,68,14,200
5,0,93,45,200
5,0,7,23,200
5,0,45,13,200
5,0,35,3,200
5,0,60,16,200
5,0,22,15,200
5,0,5,58,200
5,0,93,73,200
5,0,72,18,200
5,0,69,8,200
5,0,68,17,200
5,0,28,4,200
5,0,13,41,200
5,0,77,10,200
5,0,29,93,200
5,0,82,21,200
5,0,58,83,200
5,0,52,13,200
5,0,74,81,200
5,0,26,80,200
5,0,27,85,200
5,0,93,51,200
5,0,11,20,200
5,0,18,88,200
5,0,16,66,200
5,0,76,88,200
5,0,16,42,200
5,0,43,5,200
5,0,86,18,200
5,0,31,14,200
5,0,60,86,200
5,0,7,48,200
5,0,12,63,200
5,0,93,26,200
5,0,20,32,200
5,0,25,85,200
5,0,18,65,200
5,0,2,37,200
5,0,97,66,200
5,0,61,12,200
5,0,20,26,200
5,0,28,12,200
5,0,12,32,200
5,0,7,52,200
5,0,16,73,200
5,0,83,28,200
5,0,70,77,200
5,0,98,57,200
5,0,88,54,200
5,0,10,71,200
5,0,67,92,200
5,0,63,7,200
5,0,13,48,200
5,0,7,50,200
5,0,36,7,200
5,0,8,71,200
5,0,19,19,200
5,0,78,21,200
5,0,21,67,200
5,0,17,61,200
5,0,36,12,200
5,0,17,48,200
5,0,95,33,200
5,0,14,74,200
5,0,45,16,200
5,0,30,14,200
5,0,18,26,200
5,0,84,20,200
5,0,34,10,200
5,0,89,21,200
5,0,28,5,200
5,0,82,30,200
5,0,75,77,200
5,0,4,55,200
5,0,62,15,200
5,0,24,75,200
5,0,35,9,200
5,0,10,45,200
5,0,27,5,200
5,0,60,17,200
5,0,5,40,200
5,0,83,22,200
5,0,49,93,200
5,0,76,86,200
5,0,16,58,200
5,0,78,17,200
5,0,7,77,200
5,0,13,37,200
5,0,96,53,200
5,0,9,58,200
5,0,60,83,200
5,0,6,61,200
5,0,59,89,200
5,0,6,51,200
5,0,9,64,200
5,0,32,2,200
5,0,38,87,200
5,0,80,35,200
5,0,47,10,200
5,0,95,56,200
5,0,11,24,200
5,0,17,50,200
5,0,41,10,200
5,0,26,84,200
5,0,22,26,200
5,0,74,10,200
5,0,89,37,200
5,0,77,24,200
5,0,24,74,200
5,0,15,23,200
5,0,76,14,200
5,0,4,32,200
5,0,69,94,200
5,0,76,69,200
5,0,56,6,200
5,0,88,40,200
5,0,65,79,200
5,0,56,5,200
5,0,74,9,200
5,0,53,87,200
5,0,86,24,200
5,0,86,73,200
5,0,87,37,200
5,0,94,38,200
5,0,51,1,200
5,0,65,3,200
5,0,71,20,200
5,0,15,58,200
5,0,23,82,200
5,0,24,80,200
5,0,30,9,200
5,0,82,42,200
5,0,53,98,200
5,0,67,88,200
5,0,31,8,200
5,0,18,75,200
5,0,17,25,200
5,0,61,91,200
5,0,17,86,200
5,0,51,12,200
5,0,86,43,200
5,0,49,15,200
5,0,83,63,200
5,0,67,78,200
5,0,19,86,200
5,0,3,68,200
5,0,44,89,200
5,0,4,47,200
5,0,18,86,200
5,0,87,24,200
5,0,89,79,200
5,0,35,88,200
5,0,15,38,200
5,0,40,8,200
5,0,81,64,200
5,0,96,31,200
5,0,2,55,200
5,0,47,90,200
5,0,43,87,200
5,0,24,6,200
5,0,80,15,200
5,0,64,86,200
5,0,2,57,200
5,0,86,65,200
5,0,88,77,200
5,0,13,50,200
5,0,86,31,200
5,0,87,39,200
5,0,90,69,200
5,0,10,76,200
5,0,10,20,200
5,0,16,86,200
5,0,52,92,200
5,0,27,7,200
5,0,13,22,200
5,0,55,9,200
5,0,84,41,200
5,0,3,56,200
5,0,69,89,200
5,0,31,5,200
5,0,12,47,200
5,0,92,25,200
5,0,81,16,200
5,0,9,69,200
5,0,46,5,200
5,0,82,32,200
5,0,4,38,200
5,0,90,21,200
5,0,65,86,200
5,0,28,87,200
5,0,88,19,200
5,0,46,9,200
5,0,84,32,200
5,0,90,52,200
5,0,14,75,200
5,0,62,90,200
5,0,83,51,200
5,0,10,29,200
5,0,1,44,200
5,0,34,81,200
5,0,14,49,200
5,0,71,75,200
5,0,37,4,200
5,0,35,17,200
5,0,4,54,200
5,0,18,66,200
5,0,73,93,200
5,0,86,78,200
5,0,60,91,200
5,0,88,34,200
5,0,80,16,200
5,0,23,11,200
5,0,94,72,200
5,0,75,18,200
5,0,81,66,200
5,0,70,80,200
5,0,83,16,200
5,0,70,87,200
5,0,86,42,200
5,0,15,43,200
5,0,8,77,200
5,0,64,18,200
5,0,42,11,200
5,0,83,27,200
5,0,81,21,200
5,0,38,16,200
5,0,23,14,200
5,0,1,38,200
5,0,86,50,200
5,0,57,4,200
5,0,32,90,200
5,0,80,11,200
5,0,5,39,200
5,0,67,80,200
5,0,13,60,200
5,0,8,73,200
5,0,53,89,200
5,0,28,18,200
5,0,20,83,200
5,0,74,6,200
5,0,80,26,200
5,0,85,78,200
5,0,93,74,200
5,0,83,54,200
5,0,32,97,200
5,0,36,97,200
5,0,87,26,200
5,0,15,73,200
5,0,53,94,200
5,0,79,18,200
5,0,82,78,200
5,0,14,48,200
5,0,30,4,200
5,0,5,51,200
5,0,3,36,200
5,0,29,4,200
