t,i,j,k,newCost
1,0,7,5,10
1,0,8,5,11
1,0,9,5,12
1,0,10,5,13
1,0,11,5,14
1,0,12,5,15
1,0,13,5,16
1,0,14,5,17
1,0,8,6,-1
1,0,8,0,15
1,0,9,0,15
1,0,10,0,15
1,0,11,0,15
1,0,12,0,15
1,0,8,1,14
1,0,9,1,14
1,0,10,1,14
1,0,11,1,14
1,0,12,1,15
1,0,8,2,13
1,0,9,2,13
1,0,10,2,13
1,0,11,2,14
1,0,12,2,15
1,0,8,3,12
1,0,9,3,12
1,0,10,3,13
1,0,11,3,14
1,0,12,3,15
1,0,8,4,11
1,0,9,4,12
1,0,10,4,13
1,0,11,4,14
1,0,12,4,15
1,0,14,0,21
1,0,14,1,20
1,0,14,2,19
1,0,14,3,18
1,0,14,4,17
1,0,14,5,17
